	Company Name	Product Name	Treatment Area	Phase	Mechanism of Action	Pipeline/PDF Url	Flags
0	biogen	BIIB074	['lupus', 'disease']	2	['inhibitor)']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
1	biogen	BIIB074	[]	2	['inhibitor)']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
2	biogen	BIIB074	[]	2	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
3	biogen	BG00011	['fibrosis', 'pulmonary', 'brain', 'disease', 'Pulmonary', 'Idiopathic']	2	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
4	biogen	BG00011	['fibrosis']	2	['antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
5	biogen	fampridine	[]	False	['chemical substance']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
6	biogen	BIIB054	"[""Parkinson's"", 'disease']"	2	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
7	biogen	BIIB054	"[""Parkinson's""]"	2	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
8	biogen	Aducanumab	['disease', 'loss', 'common', 'brain']	3	['mAb)']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
9	biogen	Aducanumab	[]	3	['antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
10	biogen	rituximab	['Sclerosis', 'A']	False	['Chimeric antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
11	biogen	Infliximab	[]	False	['Chimeric antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
12	biogen	BIIB059	['fibrosis', 'lupus', 'inflammatory', 'brain', 'disease', 'Lupus', 'chronic']	2	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
13	biogen	Natalizumab	['Crohn’s', 'lupus', 'stroke', 'Acute', 'disease', 'sclerosis', 'Stroke', 'ischemic', 'acute']	2	['inhibitor)']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
14	biogen	Natalizumab	['inflammatory', 'brain', 'acute', 'lymphocytic']	2	['humanized antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
15	biogen	aducanumab	"['disease', ""Alzheimer's""]"	3	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
16	biogen	BAN2401	['disease', 'loss', 'common', 'brain']	2	['mAb)']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
17	biogen	BAN2401	['brain']	2	['antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
18	biogen	natalizumab	[]	2	['humanized antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
19	biogen	obinutuzumab.	['disease']	False	['humanized antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
20	biogen	Obinutuzumab	['lymphocytic', 'cancer', 'lymphoma', 'tumors', 'chronic', 'B', 'non-Hodgkin’s']	3	['humanized antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
21	biogen	Obinutuzumab	[]	3	['antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
22	biogen	Dapirolizumab	['inflammatory', 'brain', 'disease', 'Lupus', 'chronic', 'B']	2	['humanized antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
23	biogen	Dapirolizumab	['lupus', 'disease']	2	['antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
24	biogen	BACE1	"[""Alzheimer's"", 'disease', 'common']"	False	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
25	biogen	BIIB067	"['loss', 'ALS', ""Parkinson's"", 'brain', 'common', 'disease', 'sclerosis']"	2	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
26	biogen	BIIB067	['ALS']	2	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
27	biogen	Opicinumab	['loss', 'vision', 'disease', 'sclerosis', 'virus']	2	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
28	biogen	E2609	"['loss', 'common', 'brain', ""Alzheimer's"", 'disease']"	3	['(BACE1', 'inhibitor)']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
29	biogen	E2609	[]	3	['inhibitor']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
30	biogen	E2609	['non-Hodgkin’s']	3	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
31	biogen	daclizumab	[]	False	['humanized antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
32	biogen	obinutuzumab	[]	3	['humanized antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
33	biogen	obinutuzumab	['cancer']	3	['humanized antibody']	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html	[]
